  phi[mm]     kc[N/m]  delta*_ana[um]  delta*_num[um]  F*_ana[N]  F*_num[N]    rel_err
--------------------------------------------------------------------------------------
    0.100        2000        7.407407        7.407407     0.1852     0.1852   0.00e+00
    0.100       25000       50.000000       50.000000     1.2500     1.2500   0.00e+00
    0.100      200000       88.888889       88.888889     2.2222     2.2222   0.00e+00
    0.500        2000       37.037037       37.037037     0.9259     0.9259   0.00e+00
    0.500       25000      250.000000      250.000000     6.2500     6.2500   0.00e+00
    0.500      200000      444.444444      444.444444    11.1111    11.1111   0.00e+00
    1.000        2000       74.074074       74.074074     1.8519     1.8519   0.00e+00
    1.000       25000      500.000000      500.000000    12.5000    12.5000   0.00e+00
    1.000      200000      888.888889      888.888889    22.2222    22.2222   0.00e+00
    2.000        2000      148.148148      148.148148     3.7037     3.7037   0.00e+00
    2.000       25000     1000.000000     1000.000000    25.0000    25.0000   0.00e+00
    2.000      200000     1777.777778     1777.777778    44.4444    44.4444   0.00e+00
    5.000        2000      370.370370      370.370370     9.2593     9.2593   0.00e+00
    5.000       25000     2500.000000     2500.000000    62.5000    62.5000   0.00e+00
    5.000      200000     4444.444444     4444.444444   111.1111   111.1111   0.00e+00
