   d[mm]     kc[N/m]   δ_ana[μm]   δ_num[μm]   F_ana[N]   F_num[N]     |Δδ|[m]     |ΔF|[N]
------------------------------------------------------------------------------------------
   0.100        2500    9.090909    9.090909     0.2273     0.2273    0.00e+00    2.78e-17
   0.100       25000   50.000000   50.000000     1.2500     1.2500    0.00e+00    0.00e+00
   0.100      250000   90.909091   90.909091     2.2727     2.2727    0.00e+00    0.00e+00
   0.500        2500   45.454545   45.454545     1.1364     1.1364    0.00e+00    2.22e-16
   0.500       25000  250.000000  250.000000     6.2500     6.2500    0.00e+00    0.00e+00
   0.500      250000  454.545455  454.545455    11.3636    11.3636    1.08e-19    3.55e-15
   1.000        2500   90.909091   90.909091     2.2727     2.2727    0.00e+00    4.44e-16
   1.000       25000  500.000000  500.000000    12.5000    12.5000    0.00e+00    0.00e+00
   1.000      250000  909.090909  909.090909    22.7273    22.7273    0.00e+00    0.00e+00
   2.000        2500  181.818182  181.818182     4.5455     4.5455    0.00e+00    8.88e-16
   2.000       25000 1000.000000 1000.000000    25.0000    25.0000    0.00e+00    0.00e+00
   2.000      250000 1818.181818 1818.181818    45.4545    45.4545    0.00e+00    0.00e+00
   5.000        2500  454.545455  454.545455    11.3636    11.3636    0.00e+00    0.00e+00
   5.000       25000 2500.000000 2500.000000    62.5000    62.5000    0.00e+00    0.00e+00
   5.000      250000 4545.454545 4545.454545   113.6364   113.6364    0.00e+00    1.42e-14
